,Unnamed: 0,names,tag_lines,personality,sex,breed,rescue_grp,location,coat,date,fee,age_in_months,preference
191,191,Freya STA009168,Looking for love,"Freya is a stunning Torti who is full of Tortitude!  Freya knows her mind and has no hesitance in letting you know if she is displeased. This gorgeous girl needs a Torti experienced human that adores them and understands their personality and traits.   She is not suitable in a home with children or other pets.
ADOPTION BY APPOINTMENT ONLY
To make an appointment please complete an online application via the attached link https://www.catprotection.com.au/adoption-online-application-2/",Female,Domestic Short Hair Cat,The Cat Protection Society of Victoria,"Greensborough, VIC",Short,"12 Jan, 2022",115.00,13.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
192,192,Charlie,sweet and playful !,"Hello everyone, my name is Charlie! 
I had a rough start to life, living on the streets and came into care heavily pregnant. Now my babies have found their forever home, it's time for me to find a place to call home. Since learning to become an indoor cat, I can say I much prefer this lifestyle! 
I can still be a little shy, especially around visitors, given time I am becoming more and more confident. My foster mum says I'm very sweet in nature, playful and inquisitive. I often follow my foster mum around the house, rolling on the floor asking to be scratched. 
Without trying to boast, my favourite features about myself are my bright green eyes and the two beauty spots on my nostrils. I am very well behaved.
My foster mum has let me play with many different toys, but my all time favourite is a little piece of Velcro. You can see how much I love this in the video of me.

I am looking for a forever home, preferably in a calm and quiet environment with no other dogs or cats.
Please let my foster mum know if you have the Purrrrrfect forever home for me by clicking the expression of interest button!",Female,Domestic Medium Hair Cat,Forever Friends Animal Rescue,"Thornbury, VIC",Medium,"12 Jan, 2022",175.00,23.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5
193,193,Solider,Mr. Adventure,"Soldier loves cuddles and pats. adoring a nice soft knee to curl up on.
after cuddle time this beautiful young man enjoys exploring his world looking for fun and adventure.
Solider likes to make friends with other cats but is not sure of dogs.
he has not lived with little people.
litter trained as his world is inside only.",Male,Domestic Short Hair Cat,Chally Animal Rescue,"Bendigo, VIC",Short,"12 Jan, 2022",220.00,3.45,Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
194,194,Tiny,Super sweet,"Meet Tiny!
As his name suggests, hes small in stature but big in personality. 
Hes a creature of habit and likes routine. Hes a bit shy when experiencing new things or meeting new people but does warm up quickly. A scratch behind the ears or on the back will win you points. 
He doesnt mind the company of other kittens but is unsure about dogs. His forever home would ideally have children who are over the age of 5 and are respectful in their interactions with him. 
He loves to do zoomies and climbing up and down his cat tree. He likes feather toys. 
Tiny enjoys cuddles with his humans and will settle in on your lap once hes burnt some energy off. 
He is desexed, vaccinated, microchipped and up to date with his parasite control.",Male,Scottish Fold Cat,Hear No Evil - Australian Deaf Dog Rescue,"Melbourne, VIC",Medium,"12 Jan, 2022",1,2.0700000000000003,
195,195,Nashi,Cuddles plus,"Nashii is a affectionate little girl that wants nothing but love 100% of the day,
she thoroughly enjoys cuddling up and snuggling with her humans.
Nashi loves to meet new fur friends to play with and enjoys playing with her toys as well.
This beautiful little girl likes to explore her environment and seeing what adventures she can get up to.
litter trained as she is an indoor girl only",Female,Domestic Short Hair Cat,Chally Animal Rescue,"Bendigo, VIC",Short,"12 Jan, 2022",220.00,2.99,Doesn't have kids under 5
196,196,Neeps,shy lover,"Neeps is a beautiful loving girl who is a little shy at first but once she comes out of her shell she is a social little girl who likes playing and cuddling with her humans.
Neeps enjoys making new friends with other cats and dogs and then likes to play with her new friends.
She enjoys her toys and exploring her world.
litter trained as she is an indoor kitten only.",Female,Domestic Short Hair Cat,Chally Animal Rescue,"Bendigo, VIC",Short,"12 Jan, 2022",220.00,2.99,Doesn't have kids under 5
197,197,Moe and Shelley,Looking for love,"Shelly and Moe are a very cute and playful pair of kittens. They came to us as strays, but have adjusted great to a domestic environment and are loving all the enrichment and human company these days . Shelly and Moe are curious and adventurous, thy love the company of each other and are entertained by a whole variety of toys. They are looking for a strictly indoor home. With slow introductions, they wouldn't mind other furry friends, though having each others company is more than enough. Moe and Shelly would be fine around people of all ages, as long as any kids are gentle and cat-savvy.",Male,Domestic Short Hair Cat,Australian Animal Protection Society (AAPS),"Keysborough, VIC",Short,"12 Jan, 2022",500.00,2.99,
198,198,Charli,Very loving,"Charli is a male 2 year old surrendered as owner had to move away for work. Explained as a super smoochy and loving cat . 
Comes with his personal belongings. 
Full medical history",Male,Domestic Short Hair Cat,Sally's Cat & Kitten Rescue Inc,"Williamstown North, VIC",Short,"12 Jan, 2022",200.00,24.0,
199,199,Molly,Funny and playful beauty,"Molly is a beautiful friendly playful and joyful cat. Shes curious about everything, and she adapts to new places and people easily. She loves cuddles and attention and being patted. She also loves playing with her toys. She is chatty from time to time, but she also just loves laying next to you while you work or do your things. She loves the windows the sun and will always find the most comfortable space in any room. She will suit well for a family with kids who like to cuddle or a couple.",Female,Domestic Short Hair Cat,Give a Kitty a Home,"Caulfield North, VIC",Short,"12 Jan, 2022",300.00,25.0,
200,200,Freddie ,Big Shy Boy,"Big head, even bigger heart. This big boy is a shy angel who is looking for a family with lots of love and patience. Preferably with no dogs as Freddy is still building up his courage and would appreciate a nice chill environment.",Male,Domestic Short Hair Cat,Give a Kitty a Home,"Altona North, VIC",Short,"12 Jan, 2022",300.00,26.0,Doesn't have dogs| Doesn't have kids under 5
201,201,Black beauty,Shy friendly cuddly,"Black beauty is just exactly that shes a sweet elegant young lady. 
shes the shyer one of her brother and sisters but can be quite playful once she comes out of her shell, 
she loves a good cuddle and loves to play,
she can be reserved but definitely wont take long to warm up to her new family with lots of love and affection.",Female,Domestic Short Hair Cat,Give a Kitty a Home,"Altona, VIC",Short,"12 Jan, 2022",400.00,4.0,
202,202,Tim Tam,Beautiful long hair,"Tim Tam was rescued from a hoarder so she s bit scared of people and we need experienced calm patient people to foster Tim Tam and possibly other kitties when we go back to rescue the rest . 
She needs a foster who doesnt have a cat, kids, dogs for her to totally settle. Someone who may be at home or working from home would be ideal 
If you are interested please contact give a kitty a home thru email",Male,Domestic Medium Hair Cat,Give a Kitty a Home,"Melbourne, VIC",Medium,"12 Jan, 2022",295.00,14.0,
203,203,Lily and Guzma,Friendly twosome,"Brief description of personality: Lily is a beautiful and cheeky girl. She is not that phased by human interaction. She is curious and will come take a peak when you open cupboards or the fridge. But won't ask for pats but also won't run away if you gently pat her. She is definitely very fond of Guzma and will always come check on her. And always initiate the affection. Check out the super cute video! She is a picky eater, loves creamy treats in the little sachets but only nibbles on dry food and never finshes her wet food like Guzma does.
Guzma is really affectionate and very curious. Enjoys human attention and interaction. Likes having dry food available so she can help herself whenever she needs. Big fan of warm cat milk as well. Easy going and will hang out with you on the couch. She definitely is more independent and confident with humans than Lily is. As a bonded pair they are super easy going and well balanced.
 They are such beautiful cats and are very well behaved with kids as 
They are both incredibly friendly and relaxed cats. Lilly is a very fussy eater Guzma is great with food. Lily is good with being hand fed her favourite treat
Home Environment: It's best to give them their own space to retreat to away from everything else as they enjoy their solitude. They are comfortable with having each other and have their own beds that they are very used to. They are comfortable in handling themselves around kids and even played with my 3 year old neighbour. Both of them enjoy being hand fed and are very trusting cats 
They are not suitable to be around dogs",Female,Domestic Short Hair Cat,Give a Kitty a Home,"Bundoora, VIC",Short,"12 Jan, 2022",400.00,31.0,
204,204,Alani,Shy friendly cuddly,"Sweet girl looking for her forever home
______
This beautiful, sweet girl is looking for a very special owner who is experienced with cats and who will give her time, patience and show her the true meaning of love and trust. 
She loves pats and needs a quiet home with no other cats or young children. 
Shes extremely loving but needs time and care to fully come out of her shell and relax in her new environment, which will definitely happen, given the right person for her. 
For Alanis full history if your are interested and would like to know more, please send an enquiry and we can discuss her time with us in great detail.
Alani must be INDOOR only.",Female,Domestic Short Hair Cat,Give a Kitty a Home,"Berwick, VIC",Short,"12 Jan, 2022",250.00,24.0,
205,205,Sweetie,Shy friendly cuddly,"So miss sweetie has a very gentle personality 
On her own terms she will come up to give you a cuddle or smooch otherwise she's very independent. She's very Fluffy and white.
She also loves Belly rubs 
She would be suitable for an only home tho she has lived with other pets it's unknown on how she will act around new pets
She would preferably love to live with an elderly person or a single person home.
Absolutely indoors only",Female,Domestic Medium Hair Cat,Give a Kitty a Home,"Tullamarine, VIC",Medium,"12 Jan, 2022",300.00,48.0,
206,206,Ash,Funny and playful beauty,"Ash is a friendly young cat who can get scared during loud noises or when youre doing unknown to him but he will become affectionate after he knows you. 
When Ash is comfortable he will greet you at the door, trill when he wants food and brush up against you. Ash also loves playing. He will run through tunnels and climb up cat towers to get the toy. He has played with every cat toy we have. He especially loves ping pong ball, laser, and toys with string on them. 
Fun fact: Ash loves playing around at night. He is known to open the wardrobe door, climb up to see the window and play around with the wool. 
Ash will need to be an indoor cat and we prefer a home with another cat as Ash seeks emotional support from his other cat friend, Jesse.",Male,Domestic Short Hair Cat,Give a Kitty a Home,"Burwood, VIC",Short,"12 Jan, 2022",250.00,20.0,
207,207,Berlin,Gentle playful Affection,"Hello My name is Berlin. Yes its capital city of the Germany great as much as my personality.
Let me tell you about myself.
Can you see my coat? My coat is tuxedo that is a bit short and sleek.
I am a gentle cat so my foster carer thought I was a girl but I am a boy who is very gentle and affectionate but I am not a reckless cat and I like humans touch and cuddle if I like them. I will like quiet place because I am a gentle cat. 
I am a very young kitten so I like to have a nap but I love to play as well.
I might be a little bit shy at first but once I get used to you Id like you to pat me.
I currently live with mommy and other two siblings so I am quite socialized
My future will be with successful applicants but if you are curious of my past moment you can hit this link : https://youtu.be/_bJmxWkLbP4",Male,Domestic Short Hair Cat,Give a Kitty a Home,"Clayton, VIC",Short,"12 Jan, 2022",400.00,2.7600000000000002,
208,208,Simba ,Fluffy Ginger Bumble,"This fluffy ginger bumble loves people and their company. Hes always looking for a cuddle and will let know you with his many kisses and meows that he wants one ! 
Simba will need a home with no cats and hes quite scared of them and with no young children and hes a bit scared of loud noises and too much activity. His new family will also need to be patient with him and hes a little while to trust and come out of his shell which is totally worth it with all his cuddles",Male,Domestic Medium Hair Cat,Give a Kitty a Home,"Heidelberg Heights, VIC",Medium,"12 Jan, 2022",300.00,15.0,Doesn't have dogs| Doesn't have kids under 5
209,209,Jules,Looking for love,"Hi my name is Jules and I'm a friendly little lass ready to find my forever home.
I'm an active girl that loves to be involved in everything you're doing. I'll always be by your side following you and chatting away. I'm really good at listening and make an excellent confidant and therapist.
I would love a home where I will get endless love and attention. I also love to play so need someone that can keep up with me. I may enjoy have another friendly feline friend to keep me company and snuggle up with after a long day.
I'll need to be an indoor cat to keep me safe and warm and prevent me from returning to my wandering past. 
I am desexed.
Microchip #956000014515602",Female,Domestic Short Hair Mix Cat,RSPCA Epping Animal Welfare Facility,"Epping, VIC",Short,"12 Jan, 2022",50.00,52.0,
210,210,Moo - Located in preston,Playful and curious,"Moo is a playful boy who loves other cats. He enjoys wand toys and playing with ping pong balls.  He would love to be adopted with one of her siblings.
APPLY ONLINE at http://www.neko.org.au/adoption-application/
Before applying to meet one of our cats, please ensure that
- you have the agreement of all members of the household to adopt a Cat
- you have your landlords permission to keep a pet. More information on what to do is available at https://www.consumer.vic.gov.au/housing/renting/applying-for-a-rental-property-or-room/pets-and-renting
- you have all the necessary bits and pieces to welcome your new family member, starting with a cat carrier to bring them home, a litter tray, litter, food and bowls as well as a bed, toys and scratchers
- you are ready to welcome them home NOW.
We are unable to hold a cat for you if you are not ready to adopt.
IMPORTANT NOTE - COVID19 PRACTICES
For adoptions, we are following COVID safe practices to ensure your health and that of our volunteers as well as the general community.
We thank you for your patience throughout this process.
All funds raised at Neko HQ are to benefit Maneki Neko Cat Rescue.
Find out more about Maneki Neko Cat Rescue at www.neko.org.au
To keep up to date with all our activities 'like' us at www.facebook.com/nekorescue
Check out our other listings at http://www.petrescue.com.au/groups/10587?listings=active",Male,Domestic Short Hair Cat,Maneki Neko Cat Rescue,"Preston, VIC",Short,"12 Jan, 2022",299.00,3.22,
211,211,Tipper - Located in Preston,Playful and sweet,"Tipper is a playful boy who loves other cats.  He enjoys wand toys and playing with ping pong balls.  He would love to be adopted with one of his siblings.
APPLY ONLINE at http://www.neko.org.au/adoption-application/
Before applying to meet one of our cats, please ensure that
- you have the agreement of all members of the household to adopt a Cat
- you have your landlords permission to keep a pet. More information on what to do is available at https://www.consumer.vic.gov.au/housing/renting/applying-for-a-rental-property-or-room/pets-and-renting
- you have all the necessary bits and pieces to welcome your new family member, starting with a cat carrier to bring them home, a litter tray, litter, food and bowls as well as a bed, toys and scratchers
- you are ready to welcome them home NOW.
We are unable to hold a cat for you if you are not ready to adopt.
IMPORTANT NOTE - COVID19 PRACTICES
For adoptions, we are following COVID safe practices to ensure your health and that of our volunteers as well as the general community.
We thank you for your patience throughout this process.
All funds raised at Neko HQ are to benefit Maneki Neko Cat Rescue.
Find out more about Maneki Neko Cat Rescue at www.neko.org.au
To keep up to date with all our activities 'like' us at www.facebook.com/nekorescue
Check out our other listings at http://www.petrescue.com.au/groups/10587?listings=active",Male,Domestic Short Hair Cat,Maneki Neko Cat Rescue,"Preston, VIC",Short,"12 Jan, 2022",299.00,3.22,
212,212,Oliver,Gorgeous and cuddly!,"Meowdy! 
Once you are done staring into my green dreamy eyes, you should give my story a read. 
My name is Oliver and I am a ridiculously handsome young man. Emerald blinkers, a nice pastel coat and an absolutely wonderful personality to match. 
I am a little shy at first but very quickly warm up and I will be your little lovebug. I will meow loudly when I think its time for some cuddles (or a snack) and love hanging out. 
Id love a nice peaceful home where I can relax during the day and give you plenty of cuddles when you are home with me. I have excellent house manners and always go on the toilet. 
I am FIV+ positive, so that means Id have to be a single cat or live with another female positive feline. My foster mum does have a dog, although we havent had the chance to become best of friends, I dont seem to have a huge problem with him. A cat savy calm dog might be okay for me to live with. 
Despite my history of doing it rough on the streets, my foster mum thinks the world of me. I am a super great little lad who is more than deserving of a nice home to call my own. 
I look forward to meeting my new family. Come see me in Clyde.
Apply to adopt Oliver here: https://forms.gle/kiFehjDea6Pe8ys59",Male,Domestic Short Hair Cat,The Barn Cats Project,"Clyde, VIC",Short,"12 Jan, 2022",300.00,24.0,
213,213,Juele ^^Dandy Cat Rescue^^,Long-term foster needed,"***LONG-TERM FOSTER CARER NEEDED, WITH OPTION TO ADOPT***
Life on the streets was pretty tough for Jeuel (pronounced Jewel). At a young age this beautiful dark torti girl found herself alone, scared and a new mother to two kittens. 
Jeuel used all her instincts to survive and keep her kittens alive, and she did it exceptionally well given the very poor circumstances she was living in. She lived in constant fear and food was scarce, so hiding and sneaking about became her survival mechanisms. 
Thankfully we were able to trap this mumma cat and her two kittens and we brought them into care. Things were going well and Jeuel was beginning to adapt but she was momentarily separated from her kittens and she has not forgiven her foster carer for this.

We had been making progress with Jeuel; she was allowing her foster carer to pat her and we even heard her purr! But this minor incident has been a major setback and so we need to find a new carer for Jeuel who can take her to the next level.
Jeuel needs a cat person  someone who can invest the time and patience in showing this girl all the joys people can bring to her life. We are looking for a long-term foster carer with a view to adopting (if requested). 
You will need a quiet home with no other pets, and a kindness in your heart to share with this lovely girl. She needs someone to take a chance on her and show her the way  and we know she will repay you with love by the bucket load. 
We will cover Jeuels vet bills (including her desexing, vaccinations etc) and provide flea and worm treatments for her as well as the support of our team at Dandy Cat Rescue. When possible, will might be able to provide some dry and wet food for Jeuel however you would need to provide the majority of the food for her yourself.
Initially Jeuel would need to stay in a quiet room for a few days before she can explore more of the home. Having her in a confined space would allow you more access to her in the initial phases when you will need to start winning her over. 
Jeuel needs an experienced cat person; someone willing to work with her on a longer-term basis. She will flourish in a quiet environment, one with either no children or older teenage children and a home where she can let her guard down at her own speed. 
Underneath her beautiful fur, Jeuel is a sweetheart who is just waiting for her time to shine. Can you help Jeuel sparkle? Contact us today for a chat.
Located in Dingley Village.",Female,Domestic Short Hair Cat,Dandy Cat Rescue,"Dingley Village, VIC",Short,"12 Jan, 2022",0.00,24.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5
214,214,Harvey ^^Dandy Cat Rescue^^,Intelligent tuxedo boy," $280 adoption fee 
Harvey is an independent little tuxedo boy who is super smart and a hoot to be around when he is playing. 
Like most tuxedo kittens, Harvey is highly intelligent and works things out really quickly - youll never have to call him twice for meal times or show him where the litter and water are kept more than the first time. 
Harvey comes from a litter of five kittens who were dumped. This has made him highly social with other cats and kittens. But he is not a lap or cuddly cat. 
Harvey is a great companion for other cats and kittens. He is all about sharing his love with other kitties and will happily curl up to sleep with whichever kitty he chooses. And none of them want him to leave. 
Harvey needs a home where he will have a cat and/or small, cat-friendly dog pal to play with. He is not suited to being an only cat or in a home where he will be left alone for long stretches. 
Harvey thrives in company and he will join in on any playing activity  he is hilarious to watch chase the red laser light dot as he will never quit trying to catch it! He will pick up and carry a toy mouse in his mouth like a dog, and his favourite material in the whole world is cardboard. A cardboard box is the peak of all enjoyment in his eyes. 
Harvey has recently learned how nice it is to be patted and cuddled but it is all on his terms - and he has to be in the right mood (usually before bed time!). Otherwise Harvey wants to play more than be loved. 
Harvey is energetic, playful and fun and would be the first to learn tricks if you have the time to teach him. He is a confident boy within himself but needs someone to give him the space he needs to grow at his own pace. 
Located in Hampton Park.
**Dandy Cat Rescue is a small rescue run by volunteers. We care for cats and kittens in our own homes. We will respond to your request just as soon as we possibly can and thank you for your patience.**
You can also find us on Facebook and Instagram and visit our website dandycatrescue.org.au.",Male,Domestic Short Hair Cat,Dandy Cat Rescue,"Hampton Park, VIC",Short,"12 Jan, 2022",280.00,3.68,
215,215,Jesse,Looking for love,"Sweet, cheeky, playful, fun 
Jesse is like all kittens enjoys a play, sleep, eat, repeat
He is affectionate & friendly 
He has been socialised with other dogs and cats. A home with other cat friendly pets should be no problems at all. 
Would suit a home with dog respectful children 8 years and older. 
If your interested in meeting him please send a brief description of the home you can provide.
Located in whittlesea for meet and greets in whittlesea",Male,Domestic Medium Hair Cat,Eden Ark Private Rescue & Rehome,"Whittlesea, VIC",Medium,"12 Jan, 2022",300.00,3.22,
216,216,Sammy - will transport to you,Playful but a little shy,"Sammy is 9 months old and has been with us for quite a while now.
He was a bit shy but has really come out of his shell and actively seeks human interaction and petting. 
Sammy would love to be in his own home where someone can give him some undivided attention and provide him with some more human love. Mind you, he LOVES other cats.
Wed also be open to a foster to adopt arrangement.
Sammy is an indoor only kitty.",Male,Domestic Short Hair Cat,Robyn's Nest Animal Rescue,"Maryborough, VIC",Short,"12 Jan, 2022",250.00,10.0,
217,217,Bazza & Mikey,Sweet boys who want love,"Bazza and Mikey were regretfully surrendered to us recently by their owner who was no longer able to look after them. 
They have been a team for the past 3 years and were allowed supervised outdoor time as well as indoor.  We would recommend a long stint of indoor time before even thinking of supervised outdoor time unless you had a cat enclosure for them (which would be ideal!)  
Bazza is definitely the more outgoing and confident of the pair. 
Mikey frets if Bazza is not there to support him.   Mikey is starting to come become more confident with his foster carers which is great news. 
. 
Bear in mind though a change in environment and people can make cats very shy and they may hide and exhibit behaviours they haven't prior so it is paramount the new owners are patient and understanding of any shyness displayed. 
These boys are still young and, were originally rescues before we took them on so deserve a fresh start where they can grow old together without the worry of having to move on again.
We think they would be best in a quiet environment as the only animals and with no children.  
Bazza is 7 and Mikey is 4",Male,Domestic Short Hair x Domestic Medium Hair Cat,Robyn's Nest Animal Rescue,"Narre Warren South, VIC",Medium,"12 Jan, 2022",200.00,50.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5
218,218,Jackie ,Beautiful Natured Girl,"*Please do not apply to adopt Jackie if you do not already have a suitable cat.*
Personality: Very affectionate, Enjoys pats and cuddles, quiet girl
Playfulness: doesnt care too much for playing, she would much prefer to lay on your lap
Activity level: happy to be a couch potato?
Other cats: Jackie is great with other cats
Jackie would be best to be homed where theres another cat for company 
Children: Good with all aged children
Dogs: not sure as she has not been tested.
Any quirky habits? Jackie loves to keep me company while Im making dinner, shes always head butting me for pats.
Can you offer this very special little lady a place to call home?",Female,Domestic Short Hair Cat,Heart & Soul,"Mernda, VIC",Short,"11 Jan, 2022",290.00,15.0,
219,219,Dallas and Linxy ,Bonded Besties,"Dallas & Linxy are a gorgeous bonded pair that is now ready to start looking for a home and a family to call their own. Dallas is a stunning ink black domestic shorthair boy, and Linxy is a beautiful, fluffy medium hair tabby girl. 
Dallas is an affectionate and cuddly boy who likes to snuggle everywhere, be it on the couch or in the bed. He especially loves to lie down and be brushed, becoming quite the purr machine and would love someone that has time to groom him. Dallas is very playful and at the moment his favourite game is to chase little balls around, especially pom poms are irresistible!.
Linxy is currently still the more cautious one of the pair. She loves to engage in play and that is currently the best way to connect with her. She knows her comfort zone and might give a little hiss to signal her discomfort however, will also sit comfortably around humans that she can trust to know her boundaries and she counts as her family. 
Dallas adores other cats and Linxy is friendly with the others felines too. Both are playful, with toys and also with each other. They both love climbing and scratching posts and sleeping high up on a cat tree. Finally, this pair loves a good chat, and likes to tell how the world works, to their humans and to each other. 
Dallas and Linxy are comfortable with respectful children older that 5yrs that are not loud. Not tested with dogs in foster care. Due to Linxys current boundaries, they would thrive in a quiet home where she can get plenty of attention that involves a lot of play, to engage with her in a way she feels comfortable at the moment.  Will your family be The One for this adorable pair?",Female,Domestic Medium Hair Cat,Heart & Soul,"Edithvale, VIC",Medium,"11 Jan, 2022",500,24.0,Doesn't have dogs| Doesn't have kids under 5
220,220,Lola and Herman ,Bonded Siblings,"Meet Herman and Lola-May  Super sweet brother and sister.
Herman is a very handsome, suave little gent with the cutest little moustache.  Whilst he may be shy at first, with a few reassuring cuddles, he quickly begins to trust his humans and it is not long before he is following you all around the house observing and supervising the day to day activities within the home.  He doesnt mind a chat and will purr enthusiastically as soon as you engage him in conversation.  He is such a sweet little man who definitely has a cheeky side, bopping some of his housemates on the head while they sleep peacefully.  He is a creature of comfort and will be sure to keep your spot on the couch nice and warm for you for hours on end until its time for you to join him for a snuggle.
Lola, is a beautiful little girl with a luxuriously soft silky coat and signature mascara outline around her eyes.  She is a little more shy than her brother and takes a little while to settle into her surroundings.  She tends to sit back and let her brother do the recon tour of any new environment and once he has completed his mission and given the ok, she will slowly make her way out and explore too.  Despite her shyness at first, make no mistake, this girl absolutely loves pats, cheek rubs and butt scratches on tap, she just needs a little reminding at first.  Once this girl relaxes and lets her guard down, she is an absolute sweetheart.  Now that she has finally found her meow, she will certainly let you know when she is hungry and seems to especially love breakfast time where she will pull out all the stops and mooch all over you until brekkie is served. 
Lola has a beautiful medium hair coat and really enjoys being brushed to help her keep it in great condition.  She loves rubbing her cheeks up against anything and everything.  Christmas is coming and so is Santa and I just know she would absolutely love one of those corner grooming brushes that can be attached to wall corners!
These two play like kittens with each other, rough and tumbling around, chasing and playing with balls, chasing flies  they have energy to burn.  At the end of a very active day they will find a nice cozy spot and sleep most of the night.
Herman and Lola have shared a house with 3 other cats and a friendly dog.  Whilst they have mostly gotten along well with other felines, I believe they will be most happy together as only cats in the household with a family with older children who will understand a little patience will be needed for these two to continue flourish and become the most easy going and happy little lap cats.  They have also had access to a fully enclosed backyard and would enjoy the fresh air when they can in a safe enclosure.
They have not been tested with dogs.
Can you offer them a place to call home?
**PLEASE NOTE THAT THE OUTSIDE PICS OF THEM ARE IN A FULLY CAT PROOFED BACKYARD**",Female,Domestic Medium Hair Cat,Heart & Soul,"Melton, VIC",Medium,"11 Jan, 2022",600.00,9.0,Doesn't have kids under 5
221,221,Jules ,Very Special Little Girl,"Jules, more commonly known as Juju, is a delightfully loving cat with a robust purr and a healthy appetite. Her name means piglet!
Juju enjoys catching treats you throw, playing with dangly objects on sticks, and scratching her cardboard scratcher. Her tubby little body and unusual extra pointy ears are sure to delight! 
Although she was first mistrustful of pats and people in general, now she loves scritches and will come up to you to ask for them! She gets along well with the residential cat and they like to hang out and play together. 
Juju would benefit from having a playmate her age, and a window she can snooze in.  
Positive reinforcement, treats, and a gentle attitude is the key to welcoming Juju to your family. 
Juju will do well in a quiet home with adults/ teenagers /older respectful children. She has had a rough start as a stray kitten so she deserves a forever home and to be loved forever. 
Not tested with dogs.
If you think you would be a good fit for Juju, please contact H&S today!",Female,Domestic Short Hair Cat,Heart & Soul,"Brunswick, VIC",Short,"11 Jan, 2022",250.00,29.0,Doesn't have kids under 5
222,222,Gabriel and Waverley ,Bonded Sweethearts,"Meet Gabriel and Waverly, a bonded sweet pair who are now looking for a home together.
 Gabriel is a handsome white domestic shorthair boy, with ginger patches through his coat whereas Waverly is a sweet pure white domestic shorthair girl.   
Gabriel is a trusting boy and currently the outgoing one of these two. He loves his pats, especially enjoying chin rubs and head scratches from his human. Waverly is currently more selective and hesitant towards cuddles however is very comfortable spending time with humans around and sharing the space. 
Gabriel and Waverly are very bonded and their favourite way is to spend a day is together, no matter if it is exploring the house, playing, sitting by the window and observing or simply grooming each other before curling up together for a nap in a sunny spot. Once this pair settles and relaxes, their sweet nature and loving presence will bring sweet and loving influence to their surroundings. 
Gabriel and Waverly are looking for a calm, adult only home with no young kids or dogs. They are happy to be either the only two felines of the household, or join another cat or cats. They are looking for a gentle and patient human or humans who allow them space and time to open up and let their loving personalities to shine. This bonded pair has each other for company, even if their human or humans need to leave the house. Will your home be The One for Gabriel and Waverly?",Male,Domestic Short Hair Cat,Heart & Soul,"Altona, VIC",Short,"11 Jan, 2022",450,32.0,Doesn't have dogs| Doesn't have kids under 5
223,223,Ellie,I love other cats!,"MEET ELLIE
Ellie is approximately 9 months old. She is a domestic short hair black kitty, fully vet worked and ready for her forever home. 
Ellie's 2 twin brothers are also available for adoption on petrescue, she would LOVE to be adopted with one of her brothers however we will let her go on her own to the right home. 
Ellie LOVES other cats! She must go to a home with another young, friendly & playful kitty friend or with one of her brothers also available. She is a very sweet, shy little girl and enjoys chatting to her humans and getting scratches, she is a purr machine! Ellie is very timid and shy and is looking for a home that is understandable and wont expect too much of her too soon, she will absolutely come out of her shell and her little personality will blossom in a loving, relaxed safe home. She is not suitable for young/little kids but would be okay with teens and adults. Ellie has socialised with and currently lives with 2 dogs small and large and would be fine living with a cat-friendly dog friend also. Ellie would not be suitable as an only cat so please only apply if you have a kitty looking for a companion or you're interested in one of her brothers also. 
*Ellie is INDOOR ONLY for life please only apply for her if you understand and the household is totally on board with this, she would not be suitable outside. 
*Please no little kids, teens and adults perfect
*Must have a cat friend or go as a pair with one of her brothers 
*When applying for Ellie, please tell us about yourself and your home, other pets you have and why you are interested in Ellie specifically, we don't go with first in first serve and really pride ourselves on matching the right kitties to the right homes.",Female,Domestic Short Hair Cat,Cat Lovers Ballarat,"Ross Creek, VIC",Short,"11 Jan, 2022",250.00,10.0,Doesn't have kids under 5| Doesn't have kids from 6 to 12
224,224,Harvey,I love other cats!,"MEET HARVEY!
Harvey is approximately 9 months old, he is part of the black triplets we have available on petrescue! He is fully vet worked and ready for his forever home. 
Harvey requires the company of another friendly, playful cat friend so he must go to a home thats looking for a companion or be adopted as a pair with one of his siblings (also on petrescue) 
Harvey is a gorgeous and playful boy, he really loves head scratches and is obsessed with his food! He will be shy to begin with and requires an understanding home that will not expect too much too soon of him, he is not yet a lap cat however he loves to sit next to his humans on the couch or in bed on his terms and in time he will blossom into a beautiful loving kitty. Harvey has been socialised with small and large dogs and is happy to live with a cat-friendly dog. He would not be suitable for a home with young/little kids as they do spook him, he would be fine with teens & adults. Please dont apply for Harvey if you are interested in having him as an only cat, he must be with a friend or with one of his siblings. 
*Harvey is INDOOR ONLY for life, his new household must be on board and happy with this, he would not be suitable outside. 
*No little kids please
*When applying for Harvey please tell us about yourself and your home and why you are interested in Harvey specifically.",Male,Domestic Short Hair Cat,Cat Lovers Ballarat,"Ross Creek, VIC",Short,"11 Jan, 2022",250.00,10.0,Doesn't have kids under 5| Doesn't have kids from 6 to 12
